,평점,일시,감상평
0,2,2020.06.06 13:00,이상한데... 평점이 좋네. 왜지. 내가 이상한 사람인가
1,10,2020.06.04 12:49,오랜만에 극장에서 영화봐서 그런지 몰입감이 좋았습니다 송지효 목소리가 이렇게 소름돋는지 그전에는 몰랐어요
2,6,2020.06.04 13:26,"초중반까지는 긴장감 좋고, 흥미롭다.그 후 텐션이 떨어지며 전개가 뻔해짐. 러닝타임이 꽤 길던데, 후반부 보기가 좀 힘들었음.송지효 연기는 좋았다"
3,10,2020.06.04 11:53,송지효가 스릴러 연기를 이렇게 잘하는구나 느껴짐 .. 특유의 중저음 목소리랑 분위기가 뒷받침되서 더 그런듯
4,10,2020.06.04 09:26,이거 진짜 재밌음 송지효랑 김무열 캐스팅 대박이다.
5,10,2020.06.04 13:47,"송지효 김무열 케미 좋고, 깔끔하게 재밌게 봄. 특히나 서글하던 송지효의 서늘한 모습은 가히 재발견!"
6,10,2020.06.04 14:11,송지효 배우의 연기가 좋았어요. 런닝맨에서 봐서 몰입이 안될줄알았는데 보기 좋았습니다.
7,10,2020.06.04 09:04,송지효 x 김무열 침입자 너무 재밌네요.긴장감의 연속 두사람의 연기! 쩔어요 ㅎ
8,10,2020.06.04 12:45,연기가 매우 좋았고 서스펜스를 다루는 방식도 괜찮다.
9,10,2020.06.04 09:32,소름돋는 긴장감 심장쫄깃
10,10,2020.06.04 11:44,송지효는 역시 무겁고 서늘한 연기를 잘하고 잘 어울린다. 이번 연기 매우 좋았고 김무열 역시 기대를 져버리지않는다  스토리는 식상해서 큰 기대 안되었는데 진행될수록 흥미로웠다 연출도 괜찮은편. 오랜만에 볼만한 영화였다 아침이라 그런지 편하게 관람했다 
11,10,2020.06.04 12:48,긴장감 엄청나요. 오랜만에 극장가서도 좋았네요.
12,7,2020.06.04 13:07,중반까지는 힘을 잃지 않았는데 좀 뜬금없는 후반부가 아쉽네 주인공 연기는 굿
13,10,2020.06.04 10:56,볼만한것 같아요 !! 지효누나 이쁨
14,1,2020.06.06 19:56,살다살다 이렇게 답답하고지루한영화 첨봐요
15,10,2020.06.04 11:27,영화 재미있어서! 송지효 연기 잘한다
16,10,2020.06.04 10:22,영화 전체가 매력적입니다..침입자는 침입자입니다
17,10,2020.06.04 10:26,이 영화는 일단 연출이 너무 좋았고 긴장감을 가지고 봤던 영화 입니다요즘 같은 날씨에 잘맞는 영화인듯 하네요! 그리고 송지효 연기가 진심소름돋았습니다!!
18,10,2020.06.04 12:26,유진은 진짜인가 아닌가 엄청 궁금하다 서진이 파쇄기에 서류 갈기전에 낚아채서 확인해보고 싶다...
19,10,2020.06.04 16:05,송지효 맨날 런닝맨에서 보다가 영화에서 보니 새삼 연기자라는걸 깨달았다..오랜만에 극장가서 좋았습니다. 은근 긴장감 있음
20,10,2020.06.04 13:30,오랫만에 영화보는데 보는 내내 긴장되고 재밌었음
21,10,2020.06.04 13:43,반전 대박.. 기대보다 훨씬 재밌었어요!!! 극장에서 보길 잘한듯 ㅎㅎ
22,10,2020.06.04 14:33,송지효 연기 대박이다.. 두명의 긴장감이 너무 탄탄해서 손바닥에 자국 다났음...
23,10,2020.06.04 11:04,송지효의 연기는 정말 좋았어요! 아주 보기 좋다
24,10,2020.06.04 13:01,초반부터 어두우면서도 쫄깃한 분위기가 좋았습니다.스릴러를 워낙 좋아하는이유도있었지만 코로나때문에 시끄러웠던 신xx 도 연상됐고 특히나 김무열 배우의 연기가 최고였습니다.
25,4,2020.06.06 00:37,스릴러도 아니고 공포도 아니고 뭘 위한 영화인지 모르겠네요..
26,10,2020.06.04 13:12,쩔어요 진짜 오랜만에 재미있는 영화봤어요!!!
27,10,2020.06.04 14:07,송지효와 김무열의 연기가 돋보이는 영화였습니다. 감독이 작가라 들었는데 그래서 그런지 서사도 탄탄했고요! 관계에서 일어나는 묘한 긴장감이 인상깊었습니다 간만에 극장가기 좋은 신작이 개봉했네요
28,10,2020.06.04 11:55,송지효 배우 연기 진짜 잘해 완전 대박
29,10,2020.06.04 13:57,"송지효의 새로운 모습과 연기 변신에 놀라웠고, 김무열과의 케미도 너무 좋았다고! 오랜만에 극장 갔다온 보람 ㅎㅎㅎ"
30,10,2020.06.04 11:33,배우송지효연기잘한다 믿고 보는 송지효
31,10,2020.06.04 16:14,송지효는 런닝맨이랑 스릴러 둘 다 고정해야함 완죠니 새로운 얼굴인데 또 보고 싶음
32,1,2020.06.05 21:22,다섞어놓은 노잼영화 시간아까움
33,10,2020.06.04 14:36,기대 이상으로 재밌었습니다! 특히 송지효 배우님 연기 변신이 놀랄정도였음ㅋㅋㅋㅋ 스포라 자세한 말은 못하지만 오래 기다렸던 만큼 존잼으로 봤습니닷!!!
34,10,2020.06.04 11:46,얼마만의 영화관람인가?그것만으로도 너무나 만족했습니다.
35,10,2020.06.04 15:45,송지효 김무열 연기보는재미 있었어요 결말은 좀 아쉽지만ㅜㅜ
36,10,2020.06.04 11:55,간만에 긴장감 쩌는 영화에 만족하고 갑니다.
37,10,2020.06.04 11:27,우리 송지효 배우님께서 계시기에 모든 사람들이 지효님의 연기를 보고 행복하고 따뜻한 마음을 갖게 되는거 같아요 ^^ 저는 우리 지효님의 연기를 연기가 아닌 마음과 마음으로 대화하는 예술이라고 생각해요 ㅎㅎ
38,1,2020.06.06 00:46,방금 22000원 내고 보고 왔구요 한마디 할게요 어제 자다가 꿈꾼 게 더 재밌음. 지효언니 생각보다 연기잘하네
39,6,2020.06.05 23:20,초반에는 괜찮았는데 결말로 갈수록 별로인 스토리. 긴장감 떨어진다.
40,9,2019.11.01 23:22,재밌을거같네요.
41,8,2020.06.04 09:12,아는 형님 보고 왔다
42,8,2020.06.04 15:04,가끔 응?스러운건 있긴한데 주연 두명이 연기로 캐리함 송지효 이렇게 연기잘하는줄 처음 알았네
43,9,2020.06.04 13:22,보는 내내 궁금증을 자아내서 시간가는 줄 모르고 봤어요시국이 이래서 아쉽지만 영화관 관람도 코로나 예방 수칙 잘 지키며 보니 괜히 혼자 시민의식 높아지는 것 같고 좋네요 ㅋㅋ영화 잘되길 바랍니다!!
44,1,2020.06.05 22:49,진짜 재미없어요  현재 볼 영화가 이거밖에 없어 봤는데 진짜 더럽게 재미없습니다 개연성 하나도없구요 답답하고  말이너무 안됩니다 판타지도 아니고  무슨 영화가 이따구인지 제가 만들어도 이거보단 잘만들겠어요 배우들 연기는 다 훌륭한데 아쉽네요 
45,6,2020.06.04 18:35,설정은 다소 진부하지만송지효가 연기를 잘하네요
46,10,2020.06.04 15:43,송지효 연기 중에 제일 좋았던 것 같음! 무엇보다 오랜만에 극장가서 영화보니까 그 자체로 즐거웟따~~~~*
47,10,2020.06.04 13:25,오랜만에 극장가서 보니 더 쫄깃한 거 같네요. 엔딩이 좀 아쉽긴했지만 중반까진 넘 긴장하면서 봤습니다.
48,10,2020.06.04 10:57,
